Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
"C1","C0402","22.0678","5.3102","T","90.0","104"
"C2","C0402","8.9614","7.6216","B","180.0","106"
"C3","C0402","8.428","6.0214","B","-90.0","106"
"C4","C0402","9.5202","6.0214","B","-90.0","104"
"D1","LED_0402_1005Metric","9.3583","7.1644","T","0.0","LED_B"
"D2","LED_0402_1005Metric","22.0678","9.1456","T","-90.0","LED_B"
"D3","LED_0402_1005Metric","23.0076","9.1456","T","-90.0","LED_B"
"J1","PinSocket_2x04_P2.54mm_Vertical_SMD","28.9866","6.3008","T","0.0","SWD_OUT"
"JP1","JUMPER_0402","23.3378","5.8182","T","90.0","Jumper_3_Bridged12"
"JP2","JUMPER_0402","23.3378","2.7956","T","90.0","Jumper_3_Bridged12"
"P1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","2.8146","6.3008","T","-90.0","USB_C_Plug"
"R1","R0402","18.6642","8.7138","B","-90.0","10K"
"R2","R0402","17.0894","9.1456","B","180.0","10K"
"R3","R0402","14.8034","8.917","B","0.0","10K"
"R4","R0402","9.3606","6.0468","T","180.0","22R"
"R5","R0402","9.3678","8.1804","T","180.0","3K3"
"R6","R0402","9.3606","4.9546","T","180.0","22R"
"R7","R0402","9.3678","9.2726","T","180.0","10K"
"R8","R0402","21.9916","10.9998","T","90.0","680R"
"R9","R0402","23.0838","10.9998","T","90.0","680R"
"R10","R0402","21.6868","4.4974","B","90.0","10K"
"R11","R0402","9.360612","3.8624","T","0.0","10K"
"R12","R0402","22.0678","7.3168","T","-90.0","10K"
"R13","R0402","15.6416","4.2434","B","-90.0","10K"
"U1","QFP-48_7x7_Pitch0.5mm","16.0226","6.3008","T","180.0","STM32F103CBT6"
"U2","SOT-23-5","5.8626","6.3008","B","0.0","LP2992-3V3"
"Y1","CSTCE16M","18.3594","5.8182","B","90.0","Crystal_8M-3213-3P"
